filer_id,Filer,Business Phone,WhaleScore 1 Yr Equal-Wt,WhaleScore 1 Yr Mgr-Wt,Fund Size,Holdings,MV,Turnover,% in Top 10,Perf Equal QoQ,Perf Equal All,Perf Mgr QoQ,Perf Mgr All,Earliest 13F,Perf Equal 1 Year,Perf Equal 5 Year,Perf Mgr-Wt 1 Year,Perf Mgr-Wt 5 Year,3 Yr Perf Annualized,5 Yr Perf Annualized,7 Yr Perf Annualized,10 Yr Perf Annualized,3 Yr Perf Mgr-Weight Annualized,5 Yr Perf Mgr-Weight Annualized,7 Yr Perf Mgr-Weight Annualized,10 Yr Perf Mgr-Weight Annualized,Avg Time in Top 10,Avg Time Held,Filer CIK,Filer Zip Code,Change in MV,Put Count,Call Count,Prior MV,State,City,Shares Traded,3-Year Sortino Equal Weight,STDDEV 3-Year,5 Yr Beta,3 Yr Alpha,ETF AUM,ETF AUM %,Investing Styles,Fund Classifications,First Date 13F Was Filed,Previous MV,Country
50479,"1607 CAPITAL PARTNERS, LLC",1-804-525-1750,32,23,Small,143.0,1226403949.0,6.2937,36.4085,1.86,231.72,2.03,223.4,2009-02-17 05:00:00 UTC,10.03,24.26,10.26,25.92,-2.01,4.44,3.66,3.9600000000000004,-1.02,4.72,3.5999999999999996,3.7199999999999998,15.3,17.5725,0001436866,23219,-14.0406,0,0,1426724510.0,VA,RICHMOND,36999665.0,-0.3662,0.1324,0.7171,-9.65,1120334496.0,91.351,"MUTUAL FUND concentrated,Long-Term Focus,Low BETA Stock Focus,ETF Investor","Investment Advisor,Hedge Fund",2009-02-17 05:00:00 UTC,1426724510.0,United States
570531,"1620 INVESTMENT ADVISORS, INC.",508-830-4778,,,Micro,156.0,99490548.0,20.5128,26.0471,4.01,22.16,3.66,15.78,2022-05-16 04:00:00 UTC,20.19,0.0,16.64,,,,,,,,,,5.2,6.7708,0001907281,02360,8.7141,0,0,91515731.0,MA,PLYMOUTH,848838.0,0.3239,0.1275,0.6507,,36434999.0,36.622,"",Investment Advisor,2022-05-16 04:00:00 UTC,91515731.0,United States
470493,1623 CAPITAL LLC,703-832-8232,48,35,Micro,24.0,186114114.0,16.6667,63.3821,2.22,43.39,2.24,35.52,2020-05-01 04:00:00 UTC,20.73,0.0,19.18,,0.27,,,,-1.3,,,,4.8,12.9545,0001811034,22314,2.1138,0,2,182261514.0,VA,ALEXANDRIA,200906.0,-0.1212,0.2128,1.0852,-10.34,0.0,0.0,"","Investment Advisor,Hedge Fund",2020-05-01 04:00:00 UTC,182261514.0,United States
526485,"17 CAPITAL PARTNERS, LLC",(602) 446-6394,,,Micro,130.0,135155249.0,34.6774,33.7517,5.68,3.87,4.17,2.64,2021-08-06 04:00:00 UTC,31.8,0.0,37.39,,,,,,,,,,0.8,0.7016,0001727407,85018,24.1052,0,0,108903755.0,AZ,PHEONIX,336518.0,-0.0782,0.204,1.0668,,21759540.0,16.1,"",Investment Advisor,2021-08-06 04:00:00 UTC,108903755.0,United States
463498,1776 WEALTH LLC,678-257-2730,55,53,Micro,138.0,211285520.0,5.7971,50.2851,3.14,76.07,-0.09,61.26,2020-02-12 05:00:00 UTC,28.27,0.0,20.58,,7.03,,,,5.26,,,,10.1,10.7037,0001803140,30328,4.7481,0,0,201708209.0,GA,ATLANTA,120121.0,0.2292,0.1819,0.965,-2.6,74989865.0,35.492,ETF Investor,Investment Advisor,2020-02-12 05:00:00 UTC,201708209.0,United States
392323,"180 WEALTH ADVISORS, LLC",(253) 394-0720,64,82,Small,425.0,556327047.0,15.099,26.7553,6.74,129.59,6.95,160.19,2018-02-13 05:00:00 UTC,28.86,112.78,31.04,134.86,13.98,16.3,,,15.049999999999999,18.62,,,12.9,13.0421,0001730817,98001,11.3353,0,0,499686301.0,WA,FEDERAL WAY,1675245.0,0.6084,0.1819,0.9605,4.26,142246629.0,25.569,Long-Term Focus,Investment Advisor,2018-02-13 05:00:00 UTC,499686301.0,United States
1225,1832 ASSET MANAGEMENT L.P.,4168636990,,,Large,957.0,168939569844.0,21.0031,75.4505,3.61,219.12,3.83,215.71,2006-02-14 05:00:00 UTC,16.66,44.21,17.79,51.21,5.0200000000000005,7.6,7.630000000000001,6.77,5.08,8.62,8.43,7.07,17.1,17.3224,0000944388,M5H 0B4,143.294,5,1,69438455620.0,A6,TORONTO,366064437.0,0.1248,0.1732,0.9787,-4.26,117508700930.0,69.557,"Long-Term Focus,Value Investor,Low BETA Stock Focus",Investment Advisor,2006-02-14 05:00:00 UTC,69438455620.0,Canada
2041,1834 INVESTMENT ADVISORS COMPANY,4142780590,37,44,Small,232.0,841426754.0,9.633,36.1699,4.05,293.56,3.43,339.91,2001-05-16 04:00:00 UTC,13.78,69.62,14.33,72.5,7.140000000000001,11.15,11.24,10.530000000000001,7.01,11.52,11.31,10.620000000000001,36.6,30.0734,0001138486,53202,0.5095,0,0,837161765.0,WI,MILWAUKEE,2107478.0,0.3562,0.1197,0.6875,-0.33,407597482.0,48.441,"FINANCE concentrated,Long-Term Focus,Low BETA Stock Focus",Investment Advisor,2001-05-16 04:00:00 UTC,837161765.0,United States
660680,"1858 WEALTH MANAGEMENT, LLC",(234) 678-5183,,,Micro,121.0,105458734.0,0.0,33.1914,0.15,0.48,0.97,0.92,2024-02-13 05:00:00 UTC,0.0,0.0,,,,,,,,,,,1.0,1.0,0002011812,44333,0.0,0,0,105458734.0,OH,AKRON,0.0,-0.2523,0.1229,0.6596,,19088507.0,18.1,"",Investment Advisor,2024-02-13 05:00:00 UTC,105458734.0,United States
555930,"1888 INVESTMENTS, LLC",720-201-6099,,,Micro,5.0,1473483.0,80.0,100.0,-4.9,-44.44,-3.07,41.53,2022-02-11 05:00:00 UTC,0.34,0.0,63.27,,,,,,,,,,4.5,4.5,0001885092,80202,-31.113,0,0,2138985.0,CO,DENVER,32169.0,-0.5995,0.3505,1.3212,,0.0,0.0,"","Investment Advisor,Hedge Fund",2022-02-11 05:00:00 UTC,2138985.0,United States
499348,1900 WEALTH MANAGEMENT LLC,210-736-7770,37,36,Small,298.0,1096857738.0,28.5106,51.9818,5.0,17.49,5.15,15.89,2021-02-05 05:00:00 UTC,20.47,0.0,22.84,,3.34,,,,3.1399999999999997,,,,6.5,9.6383,0001791996,78217,0.6725,0,0,1089530956.0,TX,SAN ANTONIO,6852026.0,0.0318,0.1548,0.7968,-5.18,1007211411.0,91.827,"FINANCE concentrated,ETF Investor,Low BETA Stock Focus",Investment Advisor,2021-02-05 05:00:00 UTC,1089530956.0,United States
1678,"1919 INVESTMENT COUNSEL, LLC",410-454-2171,,,Large,1412.0,14845840271.0,8.7819,30.8,0.0,89.12,,76.5,2008-02-14 05:00:00 UTC,13.62,77.69,12.17,67.29,6.950000000000001,12.18,11.01,,5.81,10.84,10.5,,2.9,3.4483,0001324943,21202,,0,0,0.0,MD,BALTIMORE,0.0,0.3934,0.0,0.9467,-2.69,1357411437.0,9.143,"","Investment Advisor,Hedge Fund",2008-02-14 05:00:00 UTC,0.0,United States
4,1ST SOURCE BANK,2192362710,,,Small,256.0,1720489972.0,4.6875,60.7171,5.6,498.49,4.15,474.33,2001-05-11 04:00:00 UTC,22.96,85.94,25.52,69.15,6.710000000000001,13.209999999999999,11.48,10.979999999999999,6.2700000000000005,11.08,9.16,10.190000000000001,33.1,41.812,0000356264,46634,3.9499,0,0,1655115339.0,IN,SOUTH BEND,1386350.0,0.2497,0.1536,0.9076,-2.12,789745922.0,45.902,"FINANCE concentrated,Long-Term Focus,Low BETA Stock Focus",Banks,2001-05-11 04:00:00 UTC,1655115339.0,United States
358423,"22NW, LP",206-437-9174,80,75,Micro,14.0,116076811.0,7.1429,95.7054,9.46,151.27,20.19,150.6,2017-02-14 05:00:00 UTC,51.06,110.45,61.33,125.34,3.9899999999999998,16.05,13.639999999999999,,6.05,17.64,13.68,,7.4,11.8462,0001694297,98104,-24.3879,0,0,153516217.0,WA,SEATTLE,2911668.0,0.0525,0.2267,1.1231,-4.04,0.0,0.0,"Low BETA Stock Focus,Extreme Conservative Investor,Contrarian","Investment Advisor,Hedge Fund",2017-02-14 05:00:00 UTC,153516217.0,United States
633422,25 LLC,417-849-1365,,,Micro,52.0,204384194.0,16.0,84.0321,5.08,17.97,4.47,16.82,2023-05-10 04:00:00 UTC,17.97,0.0,16.82,,,,,,,,,,4.0,3.46,0001968777,63122,5.2818,1,0,194130645.0,MO,ST. LOUIS,90753.0,0.216,0.1358,0.8795,,194751006.0,95.287,"",Investment Advisor,2023-05-10 04:00:00 UTC,194130645.0,United States
525448,2594868 ONTARIO LTD,1 (416) 228-5900,,,Micro,1.0,62473480.0,0.0,100.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,1.0,1.0,0001872224,M5J 0G4,,0,0,0.0,A6,TORONTO,0.0,,,,,0.0,0.0,"","",,0.0,Canada
611269,26NORTH PARTNERS LP,212-224-0620,,,Micro,3.0,130725535.0,66.6667,100.0,-0.36,42.71,5.47,33.34,2023-02-14 05:00:00 UTC,23.73,0.0,25.49,,,,,,,,,,5.0,5.0,0001950972,10022,5.0465,0,0,124445396.0,NY,NEW YORK,94422.0,0.4394,0.2289,0.7142,,130725535.0,100.0,"","Investment Advisor,Hedge Fund",2023-02-14 05:00:00 UTC,124445396.0,United States
496704,272 CAPITAL LP,214-556-2465,,,Small,116.0,250435314.0,63.7931,45.7432,-11.92,-18.51,-17.84,-34.65,2022-02-09 05:00:00 UTC,-12.01,0.0,-22.91,,,,,,,,,,3.0,2.9296,0001841077,75219,-15.4014,0,0,296027804.0,TX,DALLAS,18496026.0,-0.3417,0.2814,1.0642,,0.0,0.0,"","Investment Advisor,Hedge Fund",2022-02-09 05:00:00 UTC,296027804.0,United States
500815,2XIDEAS AG,41 44 763 53 00,59,59,Small,54.0,817296085.0,9.2593,38.8441,3.96,12.31,3.82,18.74,2021-02-16 05:00:00 UTC,24.74,0.0,20.8,,1.34,,,,3.01,,,,6.1,10.3333,0001843587,8808,-12.3869,0,0,932847296.0,V8,PFAFFIKON,2886382.0,-0.0688,0.2185,1.1488,-9.52,0.0,0.0,"","",2021-02-16 05:00:00 UTC,932847296.0,SWITZERLAND
523764,325 CAPITAL LLC,212-376-5325,,,Micro,13.0,216562323.0,7.6923,94.6661,0.28,21.81,9.7,27.66,2022-02-14 05:00:00 UTC,46.23,0.0,51.05,,,,,,,,,,5.0,5.0,0001873893,10017,7.3068,0,0,201815976.0,NY,NEW YORK,966674.0,0.1184,0.34,1.1196,,28615437.0,13.213,"","Investment Advisor,Activist Investor",2022-02-14 05:00:00 UTC,201815976.0,United States
465277,"360 FINANCIAL, INC.",(952) 542-8900,45,46,Small,89.0,257180231.0,11.236,69.5853,4.51,62.88,4.48,65.41,2020-02-28 05:00:00 UTC,25.13,0.0,25.94,,4.17,,,,5.6000000000000005,,,,7.8,11.4767,0001802324,55391,13.4866,0,0,226617360.0,MN,WAYZATA,380560.0,0.0704,0.1874,1.0441,-5.84,231343296.0,89.954,"FINANCE concentrated,ETF Investor",Investment Advisor,2020-02-28 05:00:00 UTC,226617360.0,United States
634833,"3CHOPT INVESTMENT PARTNERS, LLC",801-401-1840,,,Micro,166.0,243525102.0,59.6386,50.3967,6.58,25.08,6.8,29.36,2023-05-23 04:00:00 UTC,26.34,0.0,28.76,,,,,,,,,,3.8,4.2794,0001978521,23226,-10.3812,0,0,271734508.0,VA,RICHMOND,1592135.0,0.418,0.1211,0.7575,,87189804.0,35.803,"",Investment Advisor,2023-05-23 04:00:00 UTC,271734508.0,United States
358125,"3EDGE ASSET MANAGEMENT, LP",844-903-3343,31,32,Small,78.0,1283360071.0,47.4359,82.5222,5.32,49.42,4.77,50.07,2017-02-10 05:00:00 UTC,13.83,35.66,12.06,35.06,2.25,6.29,5.66,,2.94,6.1899999999999995,5.800000000000001,,6.5,3.7761,0001665605,34108,-0.3434,0,0,1287781791.0,FL,NAPLES,21101337.0,-0.0711,0.084,0.436,-3.71,1282615599.0,99.942,"FINANCE concentrated,Low BETA Stock Focus,ETF Investor","Investment Advisor,Hedge Fund",2017-02-10 05:00:00 UTC,1287781791.0,United States
8,3G CAPITAL PARTNERS LP,(212) 893-6727,76,60,Micro,14.0,238058300.0,64.2857,100.0,1.84,210.88,4.97,422.54,2008-02-14 05:00:00 UTC,40.63,43.86,24.33,22.03,-5.3,7.539999999999999,8.32,6.550000000000001,-15.24,4.06,6.569999999999999,6.92,1.4,1.5,0001421669,10016,45.1943,0,0,163958425.0,NY,NEW YORK,3322500.0,-0.2236,0.3617,1.4419,-18.66,0.0,0.0,"Short-Term Focus,High BETA Stock Focus,INFORMATION TECHNOLOGY concentrated","Hedge Fund,Investment Advisor",2008-02-14 05:00:00 UTC,163958425.0,United States
669231,"49 WEALTH MANAGEMENT, LLC",214-563-1190,,,Small,140.0,466233366.0,22.1429,59.6694,2.57,2.11,2.82,2.24,2024-05-07 04:00:00 UTC,0.0,0.0,,,,,,,,,,,0.8,0.8516,0002022291,78746,19.8692,0,0,388951913.0,TX,AUSTIN,1305567.0,-0.2902,0.0855,0.4732,,433420289.0,92.962,"",Investment Advisor,2024-05-07 04:00:00 UTC,388951913.0,United States
496278,4J WEALTH MANAGEMENT LLC,703-568-5797,26,34,Micro,91.0,115853910.0,12.6437,54.8772,5.6,23.96,4.95,25.43,2021-01-15 05:00:00 UTC,21.88,0.0,19.45,,5.7,,,,5.57,,,,5.5,8.2759,0001840775,23454,5.8155,0,0,109486685.0,VA,ALEXANDRIA,671124.0,0.2223,0.1279,0.7013,-2.15,80290134.0,69.303,"FINANCE concentrated,Low BETA Stock Focus,ETF Investor",Investment Advisor,2021-01-15 05:00:00 UTC,109486685.0,United States
523839,4THOUGHT FINANCIAL GROUP INC.,(516) 300-1617,40,24,Micro,113.0,152042434.0,5.5556,67.8903,3.1,1.3,4.23,10.87,2021-07-21 04:00:00 UTC,10.56,0.0,18.32,,0.43,,,,3.5000000000000004,,,,8.1,9.0935,0001840261,11791,9.9165,0,0,138325402.0,NY,SYOSSET,425756.0,-0.2148,0.1125,0.5873,-6.58,151056260.0,99.351,"FINANCE concentrated,Low BETA Stock Focus,ETF Investor",Investment Advisor,2021-07-21 04:00:00 UTC,138325402.0,United States
460279,"55I, LLC",617-960-9559,,,Large,2311.0,17480715584.0,8.0917,35.0056,0.0,17.01,,14.65,2020-01-10 05:00:00 UTC,-11.0,0.0,-11.15,,2.73,,,,2.34,,,,2.4,3.1259,0001730242,02109,,0,0,0.0,MA,BOSTON,0.0,-0.0079,0.1448,0.6677,-4.91,17152418788.0,98.122,"",Investment Advisor,2020-01-10 05:00:00 UTC,0.0,United States
501157,"59 NORTH CAPITAL MANAGEMENT, LP",(646) 876-3787,76,72,Small,16.0,1659883838.0,12.5,84.3267,12.34,52.66,14.02,50.66,2021-02-16 05:00:00 UTC,44.55,0.0,47.44,,10.52,,,,9.26,,,,4.5,4.75,0001805589,10017,33.8683,0,0,1239937663.0,NY,NEW YORK,11216894.0,0.3887,0.196,0.9399,1.15,314856286.0,18.969,"","Investment Advisor,Hedge Fund",2021-02-16 05:00:00 UTC,1239937663.0,United States
462740,"5AM VENTURE MANAGEMENT, LLC",(415) 993-8565,69,53,Small,29.0,446626737.0,24.1379,68.4979,1.87,-4.21,4.41,-59.25,2020-02-05 05:00:00 UTC,28.72,0.0,12.84,,1.7500000000000002,,,,-14.95,,,,2.0,5.7308,0001799883,94111,18.4747,0,0,376980815.0,CA,SAN FRANCISCO,12470378.0,-0.0276,0.3932,0.6348,-4.56,0.0,0.0,"HEALTH CARE concentrated,Growth Investor,Small-Cap Focus","Investment Advisor,Hedge Fund",2020-02-05 05:00:00 UTC,376980815.0,United States
556423,"5TH STREET ADVISORS, LLC",203-327-1212,,,Micro,34.0,176674398.0,46.6667,79.3212,5.31,15.77,4.8,12.39,2022-02-14 05:00:00 UTC,22.89,0.0,17.72,,,,,,,,,,5.7,4.2333,0001911026,06890,9.4204,0,1,161463797.0,CT,SOUTHPORT,1035383.0,0.1395,0.1575,0.8183,,172523875.0,97.651,"",Investment Advisor,2022-02-14 05:00:00 UTC,161463797.0,United States
556236,"626 FINANCIAL, LLC",(269) 321-5040,,,Micro,113.0,165966790.0,13.0841,56.5691,7.22,26.23,4.89,28.75,2022-02-14 05:00:00 UTC,31.57,0.0,26.5,,8.08,,,,8.790000000000001,,,,4.8,7.4299,0001911035,49024,9.7483,0,1,151224985.0,MI,PORTAGE,346212.0,0.3018,0.1734,0.9628,-1.44,67528500.0,40.688,"",Investment Advisor,2022-02-14 05:00:00 UTC,151224985.0,United States
123998,"683 CAPITAL MANAGEMENT, LLC",(212) 554-2379,45,48,Small,284.0,1366587197.0,61.2676,42.8264,17.14,257.82,18.03,315.01,2012-02-14 05:00:00 UTC,20.68,27.34,23.21,47.16,-11.75,4.95,5.43,8.540000000000001,-13.74,8.03,7.37,10.03,2.9,7.5704,0001404574,10019,11.9277,12,0,1220955712.0,NY,NEW YORK,61522968.0,-0.64,0.2374,1.2988,-20.88,0.0,0.0,"","Investment Advisor,Hedge Fund",2012-02-14 05:00:00 UTC,1220955712.0,United States
120912,"683 CAPITAL PARTNERS, LP",212-554-2379,,,Small,135.0,1366587197.0,18.5185,42.8264,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,1.8,2.2593,0001380126,10019,,12,0,0.0,NY,NEW YORK,0.0,,,,,0.0,0.0,"",Hedge Fund,,0.0,United States
489209,"72 INVESTMENT HOLDINGS, LLC",203-890-2000,,,Micro,8.0,67080683.0,37.5,100.0,-9.2,1.09,-7.58,356.65,2021-02-16 05:00:00 UTC,32.55,0.0,5.05,,11.07,,,,70.03,,,,5.1429,5.1429,0001832749,06902,197.8651,0,0,22520489.0,CT,STAMFORD,1858129.0,0.1596,0.515,1.0233,0.28,0.0,0.0,"Small-Cap Focus,HEALTH CARE concentrated,Growth Investor","",2021-02-16 05:00:00 UTC,22520489.0,United States
498888,"7G CAPITAL MANAGEMENT, LLC",646-872-1576,90,85,Micro,7.0,189768375.0,0.0,100.0,11.18,45.9,5.57,52.72,2021-02-03 05:00:00 UTC,43.34,0.0,13.4,,13.05,,,,12.950000000000001,,,,7.5714,7.5714,0001720350,10013,-2.5744,0,0,194782801.0,NY,NEW YORK,40000.0,0.5174,0.196,0.9194,3.64,0.0,0.0,"Mega-Cap Focus,INFORMATION TECHNOLOGY concentrated,Contrarian","Investment Advisor,Hedge Fund",2021-02-03 05:00:00 UTC,194782801.0,United States
624382,"8 KNOTS MANAGEMENT, LLC",646-379-0396,,,Small,19.0,708982131.0,36.8421,92.3584,5.39,6.18,10.5,8.72,2024-02-14 05:00:00 UTC,0.0,0.0,,,,,,,,,,,0.7,0.8,0001849457,75220,32.3643,0,0,535629564.0,TX,DALLAS,9972343.0,-0.0588,0.1624,0.751,,0.0,0.0,"","Investment Advisor,Hedge Fund",2024-02-14 05:00:00 UTC,535629564.0,United States
660346,"8VC GP I, LLC",(415) 366-8405,,,Micro,3.0,78602899.0,0.0,100.0,-17.3,-12.67,-19.24,-8.69,2024-02-12 05:00:00 UTC,0.0,0.0,,,,,,,,,,,1.0,1.0,0001667766,78704,-19.5513,0,0,97705671.0,TX,AUSTIN,0.0,-0.504,0.1664,0.4643,,0.0,0.0,"","",2024-02-12 05:00:00 UTC,97705671.0,United States
431028,"9258 WEALTH MANAGEMENT, LLC",513-791-9258,62,71,Small,352.0,642082448.0,13.5447,32.168,5.48,121.22,6.21,129.68,2019-02-12 05:00:00 UTC,22.23,123.93,24.52,130.44,9.02,17.5,,,10.63,18.17,,,9.2,13.8473,0001766506,45242,12.9045,0,0,568695361.0,OH,BLUE ASH,747914.0,0.3676,0.168,0.9506,-0.33,323048437.0,50.313,FINANCE concentrated,Investment Advisor,2019-02-12 05:00:00 UTC,568695361.0,United States
199798,"A. D. BEADELL INVESTMENT COUNSEL, INC.",262-241-0331,39,46,Micro,79.0,114510000.0,18.9189,34.1874,9.72,189.88,10.58,177.3,2013-02-12 05:00:00 UTC,18.52,67.68,15.6,64.64,7.23,10.89,10.39,9.55,6.59,10.489999999999998,9.8,9.0,10.4,19.3919,0001569102,53092,9.1237,0,0,104936000.0,WI,MEQUON,268761.0,0.3051,0.1437,0.8315,-0.96,16402000.0,14.324,"Long-Term Focus,Low BETA Stock Focus",Investment Advisor,2013-02-12 05:00:00 UTC,104936000.0,United States
658023,"A.P. GILFOYLE & COMPANY ., L.P.",212-529-4550,,,Micro,13.0,1897900.0,90.0,100.0,5.6,4.46,7.34,6.15,2024-01-19 05:00:00 UTC,0.0,0.0,,,,,,,,,,,0.4,0.4,0002008868,10111,253.2423,0,0,537280.0,NY,NEW YORK,11601.0,-0.1952,0.0817,0.2835,,0.0,0.0,"","Investment Advisor,Hedge Fund",2024-01-19 05:00:00 UTC,537280.0,United States
659700,"A16Z PERENNIAL MANAGEMENT, L.P.",6505128962,,,Small,47.0,1093109384.0,21.2766,96.376,3.74,1.01,8.54,0.54,2024-02-06 05:00:00 UTC,0.0,0.0,,,,,,,,,,,0.8,0.881,0002009275,94025,64.2526,2,0,665504953.0,CA,MENLO PARK,13627506.0,-0.1307,0.2219,1.37,,151816022.0,13.888,"","Investment Advisor,Hedge Fund",2024-02-06 05:00:00 UTC,665504953.0,United States
665789,"AA FINANCIAL ADVISORS, LLC",614-442-3355,,,Micro,153.0,247832553.0,58.8235,32.6665,4.16,3.31,4.06,3.24,2024-04-02 04:00:00 UTC,0.0,0.0,,,,,,,,,,,0.9,0.4118,0002016899,43215,64.9456,0,0,150251121.0,OH,COLUMBUS,1576425.0,-0.1973,0.1027,0.5807,,171959655.0,69.385,"",Investment Advisor,2024-04-02 04:00:00 UTC,150251121.0,United States
